Nombre,Activo,Código,Eslora,Flota,Matrícula,Potencia en HP,Tipo de flota
BORRASCA,Yes,1218,"39,16","ALTURA, PROC.CONGELADOR",5241,"1083,2",32
ARRUFO,Yes,1165,"39,16","ALTURA, PROC.CONGELADOR",5239,1102,32
PAKU,Yes,2186,"39,16","ALTURA, PROC.CONGELADOR",5211,"1087,2",32
BOGAVANTE SEGUNDO,Yes,2743,"37,45","ALTURA, PROC.CONGELADOR",02994,"867,1",32
MINCHOS OCTAVO,Yes,2744,"39,3","ALTURA, PROC.CONGELADOR",03022,"578,5",32
PEDRITO,Yes,0,"39,92","ALTURA, FRESQUERO",6060,"1201,3",31
TOZUDO,Yes,2566,"26,74","ALTURA, FRESQUERO",6040,"624,2",31
XIN SHI JI N° 99,Yes,2674,"65,1","ALTURA, PROC.CONGELADOR",02181,"2173,2",32
XIN SHI JI 26,Yes,0,"70,5","ALTURA, PROC.CONGELADOR",03144,0,32
GOLFO SAN MATIAS,Yes,1653,"24,46","ALTURA, FRESQUERO",5353,"503,4",31
ANGELO PADRE,Yes,1086,"15,3","FRESQUERO, RADA O RIA",4506,"330,2",11
NUEVO SIEMPRE GAUCHO,Yes,2133,"16,85","FRESQUERO, RADA O RIA",4582,"350,3",11
MARIA ALEJANDRA 1º,Yes,2750,"39,2","ALTURA, PROC.CONGELADOR",03074,0,32
JOSÉ AMÉRICO,Yes,2756,"44,21","ALTURA, PROC.CONGELADOR",03071,0,32
RASMUS EFFERSOE,Yes,2771,"39,78","ALTURA, PROC.CONGELADOR",02703,"2214,8",32
ARBUMASA XVI,Yes,1119,"36,4","ALTURA, PROC.CONGELADOR",6366,1047,32
ARBUMASA XVIII,Yes,1121,"36,4","ALTURA, PROC.CONGELADOR",6452,"869,8",32
ARGENOVA XXV,Yes,2740,"39,7","ALTURA, PROC.CONGELADOR",02811,"859,1",32
ARBUMASA XIV,Yes,1116,"36,4","ALTURA, PROC.CONGELADOR",6221,1047,32
ARGENOVA XXIV,Yes,2731,"38,8","ALTURA, PROC.CONGELADOR",02752,"675,2",32
ARGENOVA XXVI,Yes,2739,"37,15","ALTURA, PROC.CONGELADOR",02849,"1085,9",32
VIEIRASA DIECISEIS,Yes,2616,"36,13","ALTURA, PROC.CONGELADOR",6412,702,32
ANTONIO ALVAREZ,Yes,1100,"36,6","ALTURA, PROC.CONGELADOR",6196,"1167,8",32
MARA I,Yes,1960,"35,31","ALTURA, PROC.CONGELADOR",6129,"1209,4",32
ARGENOVA XXIII,Yes,2707,"37,19","ALTURA, PROC.CONGELADOR",02713,"677,9",32
VALIENTE II,Yes,2718,"35,3","ALTURA, PROC.CONGELADOR",6185,"1001,3",32
JUEVES SANTO,Yes,1762,"39,5","ALTURA, PROC.CONGELADOR",6255,"1244,3",32
MYRDOMA F,Yes,2735,"38,55","ALTURA, PROC.CONGELADOR",02771,"1429,5",32
LUCA SANTINO,Yes,0,"26,31","ALTURA, FRESQUERO",03121,0,31
MAR AUSTRAL I,Yes,1937,"37,6","ALTURA, PROC.CONGELADOR",6078,990,32
SUEMAR,Yes,2722,"36,6","ALTURA, PROC.CONGELADOR",6186,"1167,8",32
MARIA LILIANA,Yes,1996,"53,75","ALTURA, PROC.CONGELADOR",5444,"1648,3",32
EMPESUR VI,Yes,2749,"35,03","ALTURA, PROC.CONGELADOR",02983,"1288,6",32
MIRIAM,Yes,2051,"36,35","ALTURA, PROC.CONGELADOR",6591,"1445,6",32
CONARPESA I,Yes,1344,"52,5","ALTURA, PROC.CONGELADOR",5404,"1481,9",32
FERNANDO ALVAREZ,Yes,1597,"36,6","ALTURA, PROC.CONGELADOR",6342,"1167,8",32
ALVAREZ ENTRENA II,Yes,1056,"39,5","ALTURA, PROC.CONGELADOR",02465,"987,9",32
ALVAREZ ENTRENA I,Yes,1055,"39,43","ALTURA, PROC.CONGELADOR",02454,988,32
MIERCOLES SANTO,Yes,2041,"38,5","ALTURA, PROC.CONGELADOR",6254,1244,32
PEVEGASA QUINTO,Yes,2225,"38,65","ALTURA, PROC.CONGELADOR",02312,"739,6",32
ALVER,Yes,1058,"35,03","ALTURA, PROC.CONGELADOR",01576,"840,3",32
MARIA EUGENIA,Yes,1989,"51,95","ALTURA, PROC.CONGELADOR",5425,"1503,4",32
ANTONINO,Yes,1099,"27,6","ALTURA, FRESQUERO",6317,"540,9",31
FEIXA,Yes,1592,"41,5","ALTURA, FRESQUERO",6227,"1100,7",31
ARGENOVA I,Yes,1137,35,"ALTURA, PROC.CONGELADOR",02180,655,32
ARGENOVA XXII,Yes,2713,"37,7","ALTURA, PROC.CONGELADOR",02714,"663,1",32
PENSACOLA I,Yes,2207,"25,2","ALTURA, FRESQUERO",5804,"379,9",31
NUEVO ANITA,Yes,2128,"30,9","ALTURA, PROC.CONGELADOR",02100,"765,1",32
ESTRELLITA,Yes,1578,"15,38","FRESQUERO, RADA O RIA",4094,"296,6",11
SIEMPRE DON JOSE MOSCUZZA,Yes,2460,38,"ALTURA, PROC.CONGELADOR",02257,"1127,5",32
SIN LIMITE,Yes,2486,"14,87","COSTEROS, FRESQUERO",2531,0,21
GERMAN,Yes,0,0,"FRESQUERO, RADA O RIA",03072M,0,11
GRECO,Yes,0,0,"FRESQUERO, RADA O RIA",01314M,0,11
RIA MAR,Yes,2304,"12,98","FRESQUERO, RADA O RIA",01775,"197,3",11
