BUQUECOD;BUQUE;TIPO_FLTA;FLOTA;ESLORA;POTHP;MATBUQ
1966;MARBELLA;31;ALTURA, FRESQUERO;27,38;735,6;6399
0;PADRINO;21;COSTEROS, FRESQUERO;0,00;0,0;03139
0;NUEVO QUEQUEN;21;COSTEROS, FRESQUERO;20,95;0,0;03152
2079;NAVEGANTES;32;ALTURA,PROC.CONGELADOR;58,00;1924,8;6246
2073;NANINA;32;ALTURA,PROC.CONGELADOR;72,08;1677,9;02576
0;XIN SHI JI 30;32;ALTURA,PROC.CONGELADOR;70,50;0,0;03145
1769;JUPITER II;31;ALTURA, FRESQUERO;27,90;790,6;6597
2757;ORION 5;32;ALTURA,PROC.CONGELADOR;65,62;1775,8;02637
2533;TAI AN;32;ALTURA,PROC.CONGELADOR;100,50;4506,0;01530
1176;ATLANTIC SURF III;32;ALTURA,PROC.CONGELADOR;49,60;3020,1;02030
0;DON FEDE I;11;RADA O RIA, FRESQUERO;0,00;0,0;03076
0;BARRUMBA;11;RADA O RIA, FRESQUERO;0,00;0,0;02827M
2714;TANGO II;32;ALTURA,PROC.CONGELADOR;50,40;1302,0;02791
2712;DUKAT;32;ALTURA,PROC.CONGELADOR;50,80;1302,0;02775
1280;CENTURION DEL ATLANTICO;32;ALTURA,PROC.CONGELADOR;112,80;8111,4;6230
2372;SAN JUAN JOSE;11;RADA O RIA, FRESQUERO;13,03;128,9;17903
1445;DON LUIS I;32;ALTURA,PROC.CONGELADOR;67,95;1802,7;02093
1643;GEMINIS;32;ALTURA,PROC.CONGELADOR;68,90;2140,9;6569
1272;CAROLINA P;32;ALTURA,PROC.CONGELADOR;71,60;1975,8;6454
1074;ANABELLA M;32;ALTURA,PROC.CONGELADOR;64,80;2420,1;6455
1207;BEAGLE I;32;ALTURA,PROC.CONGELADOR;59,90;2369,1;6052
2169;ORION 2;32;ALTURA,PROC.CONGELADOR;53,25;1201,3;01942
1723;INDOMITO;11;RADA O RIA, FRESQUERO;15,86;218,8;3645
2715;LUCA MARIO;32;ALTURA,PROC.CONGELADOR;79,14;3951,7;6571
2541;TALISMAN;32;ALTURA,PROC.CONGELADOR;49,95;1302,0;6327
1642;GAUCHO GRANDE;31;ALTURA, FRESQUERO;27,64;0,0;5441
2604;VERDEL;32;ALTURA,PROC.CONGELADOR;71,70;1975,0;6593
2777;API VII;32;ALTURA,PROC.CONGELADOR;72,20;0,0;03081
0;DON LITO;11;RADA O RIA, FRESQUERO;6,70;0,0;01990
2636;VIRGEN DE LUJ┴N  (02987M);11;RADA O RIA, FRESQUERO;0,00;0,0;02987M
0;MATIAS;11;RADA O RIA, FRESQUERO;0,00;0,0;02149M
